"","Env","Year","Field_Location","Experiment","Replicate","Block","Plot","Range","Pass","Hybrid","Hybrid_orig_name","Hybrid_Parent1","Hybrid_Parent2","Plot_Area_ha","Date_Planted","Date_Harvested","Stand_Count_plants","Pollen_DAP_days","Silk_DAP_days","Plant_Height_cm","Ear_Height_cm","Root_Lodging_plants","Stalk_Lodging_plants","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"130511","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,13,2,67,"PHW52/PHN82","PHW52/PHN82","PHW52","PHN82",0.000812902318640955,"2021-05-20","2021-11-10",56,75,75,253,114,0,0,14.4717137723002,19.1,682.2081739776
"130512","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,14,2,68,"W10004_0966/PHK76","W10004_0966/PHK76","W10004_0966","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",56,NA,70,236,115,0,3,12.3049738372733,17.4,722.11091622912
"130513","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,15,2,69,"W10004_0844/PHK76","W10004_0844/PHK76","W10004_0844","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,68,67,230,110,0,2,10.1419999623884,15.1,741.41869473792
"130514","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,16,2,70,"W10004_1140/PHK76","W10004_1140/PHK76","W10004_1140","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,NA,70,270,135,0,3,12.4487117993594,16.4,720.8237309952
"130515","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,17,2,71,"W10004_0055/PHK76","W10004_0055/PHK76","W10004_0055","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",51,70,70,242,113,0,1,12.6916226785179,16.4,702.80313772032
"130516","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,18,2,72,"W10004_0112/PHK76","W10004_0112/PHK76","W10004_0112","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",64,73,72,241,123,0,0,10.9774376372206,16,756.86491754496
"130517","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,19,2,73,"W10004_0035/PHK76","W10004_0035/PHK76","W10004_0035","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,70,70,244,130,0,1,13.0462600085557,17.3,711.81343435776
"130518","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,2,20,2,74,"W10004_0062/PHK76","W10004_0062/PHK76","W10004_0062","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,73,73,238,102,0,1,10.0792322933551,16.5,696.36721155072
"130519","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,21,2,75,"W10004_0848/PHK76","W10004_0848/PHK76","W10004_0848","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,NA,70,245,127,0,1,12.2039178901298,16.9,709.23906388992
"130520","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,22,2,76,"W10004_0047/PHK76","W10004_0047/PHK76","W10004_0047","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,73,72,250,112,0,0,9.83318303074491,17.5,727.2596571648
"130521","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,23,2,77,"W10004_0487/PHK76","W10004_0487/PHK76","W10004_0487","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",55,NA,70,258,126,0,3,11.8712492442537,18.1,715.67499005952
"130522","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,24,2,78,"W10004_0637/PHK76","W10004_0637/PHK76","W10004_0637","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",53,NA,69,245,115,0,0,10.4665088112901,16.8,722.11091622912
"130523","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,25,2,79,"W10004_0327/PHK76","W10004_0327/PHK76","W10004_0327","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",45,71,71,266,111,1,1,8.61737328157135,17.3,713.10061959168
"130524","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,26,2,80,"W10004_0981/PHK76","W10004_0981/PHK76","W10004_0981","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",58,73,72,261,114,0,0,9.46599216690055,17.9,732.40839810048
"130525","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,27,2,81,"W10004_0616/PHK76","W10004_0616/PHK76","W10004_0616","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,NA,69,236,104,0,0,9.50428044501081,18.5,725.97247193088
"130526","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,28,2,82,"W10004_1004/PHK76","W10004_1004/PHK76","W10004_1004","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,69,69,241,108,0,0,10.3196324657524,17.4,705.37750818816
"130527","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,29,2,83,"W10004_0308/PHK76","W10004_0308/PHK76","W10004_0308","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",53,73,72,255,116,0,0,8.439113101517,16.8,791.6189188608
"130528","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,3,30,2,84,"W10004_0417/PHK76","W10004_0417/PHK76","W10004_0417","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,72,72,253,118,0,1,11.9961569056298,17.8,731.12121286656
"130529","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,31,2,85,"W10004_0078/PHK76","W10004_0078/PHK76","W10004_0078","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",58,71,71,255,125,0,3,11.4080238467885,18.7,709.23906388992
"130530","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,32,2,86,"W10004_0680/PHK76","W10004_0680/PHK76","W10004_0680","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,69,69,244,118,0,3,8.70901407835986,17,773.59832558592
"130531","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,33,2,87,"W10004_0236/PHK76","W10004_0236/PHK76","W10004_0236","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",64,68,67,233,111,0,2,12.3890825137778,18.5,696.36721155072
"130532","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,34,2,88,"B14A/H95","B14A/H95","B14A","H95",0.000812902318640955,"2021-05-20","2021-11-10",51,77,76,247,139,0,1,12.481978663947,19.6,693.79284108288
"130533","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,35,2,89,"W10004_0501/PHK76","W10004_0501/PHK76","W10004_0501","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",55,69,69,238,122,0,1,9.9888468499473,17.7,743.99306520576
"130534","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,36,2,90,"W10004_0970/PHK76","W10004_0970/PHK76","W10004_0970","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",55,70,70,244,109,1,2,8.59477692071939,16.3,715.67499005952
"130535","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,37,2,91,"B37/MO17","B37/MO17","B37","MO17",0.000812902318640955,"2021-05-20","2021-11-10",54,71,71,255,130,2,3,14.8702884706612,19.2,679.63380350976
"130536","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,38,2,92,"W10004_1081/PHK76","W10004_1081/PHK76","W10004_1081","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",48,68,68,249,129,0,1,11.1506764037523,16.2,706.66469342208
"130537","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,39,2,93,"W10004_0971/PHK76","W10004_0971/PHK76","W10004_0971","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",47,69,69,224,118,1,6,7.98718588447778,18,723.39810146304
"130538","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,4,40,2,94,"W10004_0932/PHK76","W10004_0932/PHK76","W10004_0932","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",54,67,70,257,122,0,1,9.68567900851683,16.9,732.40839810048
"130539","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,41,2,95,"W10004_0013/PHK76","W10004_0013/PHK76","W10004_0013","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,66,66,242,121,0,5,11.917069642648,16.1,745.28025043968
"130540","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,42,2,96,"W10004_0190/PHK76","W10004_0190/PHK76","W10004_0190","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",61,71,71,266,127,1,2,10.7000045400937,18.9,727.2596571648
"130541","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,43,2,97,"W10004_0781/PHK76","W10004_0781/PHK76","W10004_0781","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,71,71,264,135,0,3,10.0283904814382,17.6,745.28025043968
"130542","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,44,2,98,"W10004_0336/PHK76","W10004_0336/PHK76","W10004_0336","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",65,69,69,260,135,0,1,11.1437719601586,18.2,723.39810146304
"130543","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,45,2,99,"W10004_0238/PHK76","W10004_0238/PHK76","W10004_0238","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,70,70,238,119,0,1,11.503430703719,18.1,743.99306520576
"130544","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,46,2,100,"PHG39/PHN82","PHG39/PHN82","PHG39","PHN82",0.000812902318640955,"2021-05-20","2021-11-10",41,76,76,235,113,0,1,8.87534840129791,21.4,709.23906388992
"130545","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,47,2,101,"W10004_0127/PHK76","W10004_0127/PHK76","W10004_0127","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,69,69,235,132,0,1,10.9033717877614,16.9,745.28025043968
"130546","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,48,2,102,"W10004_0888/PHK76","W10004_0888/PHK76","W10004_0888","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,69,68,242,121,0,1,11.3289365838066,18.5,722.11091622912
"130547","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,49,2,103,"W10004_0194/PHK76","W10004_0194/PHK76","W10004_0194","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,69,67,213,95,0,1,9.93926039141106,16.1,727.2596571648
"130548","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,5,50,2,104,"W10004_0982/PHK76","W10004_0982/PHK76","W10004_0982","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,67,67,243,124,0,2,11.7689379437295,16.6,742.70587997184
"130549","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,51,3,104,"W10004_1011/PHK76","W10004_1011/PHK76","W10004_1011","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,68,68,243,127,0,3,11.6283383650951,16.7,722.11091622912
"130550","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,52,3,103,"W10004_0093/PHK76","W10004_0093/PHK76","W10004_0093","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,68,68,243,119,0,0,12.4336475587914,16.5,741.41869473792
"130551","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,53,3,102,"W10004_0467/PHK76","W10004_0467/PHK76","W10004_0467","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,67,68,229,105,0,0,9.70199860246547,16.9,727.2596571648
"130552","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,54,3,101,"W10004_0134/PHK76","W10004_0134/PHK76","W10004_0134","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,69,69,242,120,0,4,10.7113027205197,17.2,714.3878048256
"130553","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,55,3,100,"W10004_0220/PHK76","W10004_0220/PHK76","W10004_0220","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",60,68,68,239,114,0,0,9.73338243698208,19.5,740.131509504
"130554","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,56,3,99,"TX777/LH195","TX777/LH195","TX777","LH195",0.000812902318640955,"2021-05-20","2021-11-10",61,83,84,288,157,0,2,14.4484897347579,24.5,669.3363216384
"130555","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,57,3,98,"W10004_0110/PHK76","W10004_0110/PHK76","W10004_0110","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",56,67,66,244,125,0,1,9.14085564130844,19,700.22876725248
"130556","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,58,3,97,"W10004_0760/PHK76","W10004_0760/PHK76","W10004_0760","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",61,68,68,259,141,0,2,8.37822846255477,18.2,754.29054707712
"130557","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,59,3,96,"W10004_0122/PHK76","W10004_0122/PHK76","W10004_0122","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,NA,69,264,126,0,5,13.1849765571191,19,711.81343435776
"130558","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,6,60,3,95,"W10004_0311/PHK76","W10004_0311/PHK76","W10004_0311","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,67,67,256,124,0,0,11.1588362007266,17,745.28025043968
"130559","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,61,3,94,"W10004_0200/PHK76","W10004_0200/PHK76","W10004_0200","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,70,70,268,130,0,1,13.1931363540934,16.3,738.84432427008
"130560","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,62,3,93,"B37/OH43","B37/OH43","B37","OH43",0.000812902318640955,"2021-05-20","2021-11-10",58,71,71,254,126,0,3,12.1737894089938,19.6,648.74135789568
"130561","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,63,3,92,"W10004_0889/PHK76","W10004_0889/PHK76","W10004_0889","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,69,69,245,117,0,0,11.0006616747629,17.2,737.55713903616
"130562","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,64,3,91,"W10004_1112/PHK76","W10004_1112/PHK76","W10004_1112","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",65,67,67,233,123,0,1,12.1474269879999,17.1,743.99306520576
"130563","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,65,3,90,"W10004_0950/PHK76","W10004_0950/PHK76","W10004_0950","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",56,66,65,232,109,0,1,9.27392309965888,15.5,732.40839810048
"130564","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,66,3,89,"W10004_1099/PHK76","W10004_1099/PHK76","W10004_1099","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",58,67,67,234,116,0,3,12.2202374840784,17.2,723.39810146304
"130565","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,67,3,88,"W10004_0943/PHK76","W10004_0943/PHK76","W10004_0943","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,69,69,262,130,0,1,11.4281095008791,17.9,758.15210277888
"130566","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,68,3,87,"W10004_0133/PHK76","W10004_0133/PHK76","W10004_0133","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",60,69,69,229,99,0,1,12.3683691829968,18.1,720.8237309952
"130567","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,69,3,86,"W10004_1015/PHK76","W10004_1015/PHK76","W10004_1015","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,69,69,241,113,0,0,11.5668260494426,17.1,734.98276856832
"130568","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,7,70,3,85,"W10004_1000/PHK76","W10004_1000/PHK76","W10004_1000","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",61,68,68,230,113,0,1,12.2679409125437,17.1,732.40839810048
"130569","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,71,3,84,"W10004_0602/PHK76","W10004_0602/PHK76","W10004_0602","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",51,69,69,248,125,0,3,10.8387210886572,18.3,741.41869473792
"130570","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,72,3,83,"W10004_0006/PHK76","W10004_0006/PHK76","W10004_0006","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",68,67,67,242,115,0,1,14.1553647203727,16.2,732.40839810048
"130571","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,73,3,82,"W10004_0396/PHK76","W10004_0396/PHK76","W10004_0396","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",58,69,67,243,112,0,1,10.8493915923928,16.6,714.3878048256
"130572","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,74,3,81,"W10004_0059/PHK76","W10004_0059/PHK76","W10004_0059","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,67,67,243,109,0,0,9.62353901617394,17.1,714.3878048256
"130573","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,75,3,80,"W10004_0031/PHK76","W10004_0031/PHK76","W10004_0031","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,70,70,247,137,0,7,14.5765357795857,17.2,738.84432427008
"130574","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,76,3,79,"W10004_0171/PHK76","W10004_0171/PHK76","W10004_0171","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",50,69,68,238,118,1,1,11.1412612533973,18.1,689.93128538112
"130575","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,77,3,78,"W10004_0834/PHK76","W10004_0834/PHK76","W10004_0834","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",52,69,69,217,102,0,10,7.50261947954129,15.9,704.09032295424
"130576","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,78,3,77,"W10004_0217/PHK76","W10004_0217/PHK76","W10004_0217","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",57,66,66,234,108,0,3,9.55261155016639,17.1,711.81343435776
"130577","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,79,3,76,"W10004_0644/PHK76","W10004_0644/PHK76","W10004_0644","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",66,NA,70,243,116,0,1,13.3092565418049,17.7,734.98276856832
"130578","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,8,80,3,75,"W10004_1123/PHK76","W10004_1123/PHK76","W10004_1123","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",53,67,67,197,91,0,7,8.64499105594597,16.4,727.2596571648
"130579","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,81,3,74,"W10004_0106/PHK76","W10004_0106/PHK76","W10004_0106","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,68,67,235,114,0,1,11.9836033718232,15.2,706.66469342208
"130580","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,82,3,73,"W10004_0879/PHK76","W10004_0879/PHK76","W10004_0879","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,69,69,221,92,0,0,7.81018105780409,19.1,696.36721155072
"130581","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,83,3,72,"W10004_0258/PHK76","W10004_0258/PHK76","W10004_0258","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",59,NA,68,237,117,0,2,11.4136729370015,16.3,706.66469342208
"130582","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,84,3,71,"W10004_0639/PHK76","W10004_0639/PHK76","W10004_0639","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",49,71,71,265,124,0,0,11.8122476353625,16.8,1441.6474619904
"130583","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,85,3,70,"W10004_0409/PHK76","W10004_0409/PHK76","W10004_0409","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",49,69,68,245,120,0,0,9.71769051972377,17,714.3878048256
"130584","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,86,3,69,"W10004_0212/PHK76","W10004_0212/PHK76","W10004_0212","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",51,67,67,243,109,0,4,9.35677642278274,16.7,716.96217529344
"130585","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,87,3,68,"W10004_0828/PHK76","W10004_0828/PHK76","W10004_0828","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",58,NA,69,248,131,0,1,12.3307085815769,16.6,734.98276856832
"130586","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,88,3,67,"W10004_0661/PHK76","W10004_0661/PHK76","W10004_0661","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",63,69,68,230,114,0,1,11.9264847930029,17,715.67499005952
"130587","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,89,3,66,"W10004_0262/PHK76","W10004_0262/PHK76","W10004_0262","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",45,67,67,236,116,0,2,9.01406494986133,15,723.39810146304
"130588","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,9,90,3,65,"B73/MO17","B73/MO17","B73","MO17",0.000812902318640955,"2021-05-20","2021-11-10",55,71,71,269,147,0,3,14.4183612536219,17.7,652.60291359744
"130589","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,91,3,64,"F42/H95","F42/H95","F42","H95",0.000812902318640955,"2021-05-20","2021-11-10",57,73,73,267,142,0,3,9.72585031669809,16.6,700.22876725248
"130590","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,92,3,63,"W10004_0664/PHK76","W10004_0664/PHK76","W10004_0664","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",55,68,67,237,127,0,0,11.8743876277054,15.1,706.66469342208
"130591","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,93,3,62,"W10004_0424/PHK76","W10004_0424/PHK76","W10004_0424","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,69,68,239,133,0,7,11.106739035429,15.9,691.21847061504
"130592","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,94,3,61,"B73/PHN82","B73/PHN82","B73","PHN82",0.000812902318640955,"2021-05-20","2021-11-10",57,84,85,258,159,0,3,10.2298746990349,21.4,639.73106125824
"130593","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,95,3,60,"W10004_0602/PHK76","W10004_0602/PHK76","W10004_0602","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",68,68,68,246,122,0,0,9.50176973824948,16,722.11091622912
"130594","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,96,3,59,"W10004_0011/PHK76","W10004_0011/PHK76","W10004_0011","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",56,67,66,241,110,0,3,11.3446285010649,18.5,704.09032295424
"130595","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,97,3,58,"W10004_0622/PHK76","W10004_0622/PHK76","W10004_0622","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",62,70,70,261,148,0,5,11.8235458157884,14,715.67499005952
"130596","NYH3_2021",2021,"NYH3","G2F_2020_21_PHK76",1,10,98,3,57,"W10004_0794/PHK76","W10004_0794/PHK76","W10004_0794","PHK76",0.000812902318640955,"2021-05-20","2021-11-10",61,68,68,234,119,0,1,12.1712787022325,15.1,707.951878656
